,question,correct_ans,model_ans_three_shot
30,اگر 4.6 را گرد کنیم به چه عددی می رسیم؟ گزینه ها: ا) 4 ب)5,ب,ب
31,یک ربع بعد از ساعت هفت و ربع چه ساعتی است؟ گزینه ها: ا) هفت ب) هفت و نیم,ب,ب
32,یک کتاب 65 صفحه دارد . علی 20 صفحه را هفته ی قبل خوانده بود .این هفته او 35 صفحه ی دیگر را خواند . چند صفحه از کتاب باقی مانده است ؟  گزینه ها: ا) 10 ب) 20,ا,ب
33,معین یک کیسه ی آجیل دارد که شامل 80 بادام،  60 پسته و 100 تخمه کدو است .اگر معین بخواهد از کیسه ، بادام در بیاورد احتمال آن چقدر است؟ گزینه ها: ا) یک دوم ب) یک سوم,ب,ب
34, هر ساعت چند تا یک ربع دارد؟ گزینه ها: ا) چهار ب) دوازده,ا,ب
35, کدام عدد زوج نیست؟ گزینه ها:  ا)452  ب)709           ,ب,ب
36,در یک مزرعه روی هم 7 اردک و گوسفند وجود دارد. اگر تعداد پاهای آنها روی هم 20 تا باشد، چند گوسفند در این مزرعه وجود داد؟ گزینه ها: ا) 3 یا 4 ب) 4 یا 5,ا,ب
37,با رقم های 5 ، 0 ، 2 ، 8 کوچک ترین عدد چهار رقمی را بنویسید. گزینه ها: ا) 0000 ب)2058,ب,ب
38,با رقم های 5 ، 0 ، 2 ، 8 بزرگترین و کوچک ترین عدد چهار رقمی را بنویسید و اختلاف آن ها چیست؟ گزینه ها: ا) 8500 ب) 6462,ب,ب
39,سه نقطه را با کلمات مناسب پر کن. 4 بسنه ی 12 تایی مداد را بین 5 نفر به صورت مساوی تقسیم کرده ایم .  به هر نفر 9 مداد می رسد و ... مداد باقی می ماند. گزینه ها: ا) 4 ب)3,ب,ب
40,سه نقطه را با کلمات مناسب پر کن. مثلثی که 2 ضلع برابر دارد ... نام دارد . گزینه ها: ا) متساوی الاضلاع ب) متساوی الساقین,ب,ب
41,در یک مزرعه روی هم 7 اردک و گوسفند وجود دارد. اگر تعداد پاهای آنها روی هم 20 تا باشد، چند اردک در این مزرعه وجود داد؟ گزینه ها: ا) 3 یا 4 ب) 4 یا 5,ا,ب
42, کدام عدد زوج است؟ گزینه ها:  ا)752  ب)887  ,ا,ا
43,سه نقطه را با کلمات مناسب پر کن. مستطیل ...قطر دارد. گزینه ها: ا) چهار ب) دو,ب,ب
44,مربعی داریم به ضلع 8 سانتی متر ، مساحت مربع را حساب کنید ؟ گزینه ها: ا) 64 ب) 32,ا,ا
45,با رقم های 2،0،3 عدد سه رقمی بنویس که یکان آن 0 باشد. گزینه ها: ا) 302 ب) 320,ب,ب
46,یک دستگاه جوراب بافی در هر ساعت 25 جفت جوراب میبافد این دستگاه در ۸ ساعت چند جفت جوراب میبافد؟ گزینه ها: ا) 400 ب ) 200,ب,ا
47,اگر 3.5 را گرد کنیم به چه عددی می رسیم؟ گزینه ها: ا) 3 ب)4,ب,ب
48,عدد 4 از 5/4 کوچکتر است. گزینه ها: ا)درست است  ب)غلط است.,ب,ا
49,عدد 3/4 از 3/8 کوچکتر است. گزینه ها: ا)درست است  ب)غلط است.,ب,ب
